,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
240,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,3,365,218,73,2018-01-25,95
241,Manhattan,Apartment,Entire home/apt,4,2,2,2,Real Bed,385,7,120,308,16,2017-01-03,100
242,Manhattan,Apartment,Entire home/apt,4,1,2,3,Real Bed,165,2,28,289,38,2018-02-10,94
243,Bronx,Apartment,Private room,1,1,1,1,Real Bed,45,3,365,365,123,2018-01-02,93
244,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,75,2,30,329,140,2018-01-27,97
245,Manhattan,Apartment,Entire home/apt,6,1,2,3,Real Bed,395,2,730,288,235,2018-02-18,94
246,Queens,Apartment,Entire home/apt,16,2.5,5,10,Real Bed,370,30,730,365,9,2017-06-18,88
247,Manhattan,Apartment,Private room,4,1,1,2,Real Bed,99,3,730,273,100,2018-02-10,93
248,Brooklyn,Condominium,Private room,1,1,1,1,Real Bed,100,3,20,359,17,2018-01-01,96
249,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,3,150,151,46,2017-09-06,94
250,Brooklyn,House,Private room,2,0,1,1,Real Bed,90,2,365,353,115,2017-11-04,95
251,Brooklyn,Apartment,Private room,2,0,1,2,Real Bed,59,2,27,365,5,2017-01-05,84
252,Brooklyn,Bed and breakfast,Private room,2,1,1,1,Real Bed,120,3,1125,311,41,2017-06-25,96
253,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70,3,14,354,145,2018-01-03,96
254,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,1,1825,365,30,2012-09-03,89
255,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,125,3,7,0,3,2015-07-17,90
256,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,299,2,1125,106,77,2018-02-11,95
257,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,95,2,28,263,115,2017-12-17,95
