,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
9373,Manhattan,Apartment,Private room,1,1,1,1,Futon,45
9392,Manhattan,Loft,Private room,1,1,1,1,Real Bed,79
9404,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
9479,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
9506,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
9513,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
9532,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,129
9564,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,43
9614,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,71
9629,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,28
9635,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,250
9716,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,98
9745,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
9773,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
9797,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,62
9798,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,61
9834,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,59
9835,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
9864,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,73
9866,Manhattan,Apartment,Private room,1,1,1,1,Airbed,103
9870,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
9883,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,111
9886,Manhattan,Apartment,Private room,1,1,1,1,Airbed,92
9907,Manhattan,Apartment,Private room,1,1,1,2,Real Bed,33
9920,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
9921,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
9938,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,120
9968,Manhattan,Apartment,Private room,1,1,1,1,Airbed,70
10042,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,110
10044,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
10062,Manhattan,Apartment,Private room,1,1,1,1,Futon,50
10074,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,59
10077,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
10086,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
10138,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
10209,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,86
10225,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,16
10304,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
10377,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,250
10397,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
10408,Manhattan,Apartment,Private room,1,1,1,1,Airbed,60
